index,RandomForestRegressor,ensemblemethods,kbest
temp_C,0.0402670835049556,0.0408809868704981,812.827264852664
HR,0.0348742810273132,0.0353230518114858,1159.7482169282623
windSpeed_m/s,0.0120793584740708,0.0122666484523136,0.3685597548950057
windGust_m/s,0.0127782632004518,0.0125179338786435,0.0138475212549007
pres_mbar,0.0318689655912252,0.0325888856677806,26.734005314672192
solarRad_W/m2,0.3863505305176214,0.3850880826173384,6277.184009485901
rain_mm/h,0.0026676719953788,0.0027191817541592,5.261892264241982
rain_day,0.0080337354805224,0.008661074897658,18.770947414681824
weekday,0.1249559706335466,0.1228264924216774,1261.8897025915576
Season,0.0094589770856269,0.0098400767645525,4.692009063482694
hour,0.1790447859180878,0.1805774374733432,658.5018219008473
Power-diff-1,0.157620376571199,0.1567101473905492,1853.8509051453696
